movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Chappie,6.9,2015,R,Action,Neill Blomkamp,Hugh Jackman,"Action, Crime, Drama, Sci-Fi, Thriller",120.0,Action,Crime,Drama,Sci-Fi,Thriller,,,,5,2010,Average,Medium
Child 44,6.4,2015,R,Crime,Daniel Espinosa,Tom Hardy,"Crime, Drama, Thriller",137.0,Crime,Drama,Thriller,,,,,,3,2010,Average,Long
Victor Frankenstein,6.0,2015,PG-13,Drama,Paul McGuigan,Daniel Radcliffe,"Drama, Horror, Sci-Fi, Thriller",110.0,Drama,Horror,Sci-Fi,Thriller,,,,,4,2010,Average,Medium
Animal Kingdom: Lets go Ape,4.9,2015,R,Adventure,Jamel Debbouze,Jamel Debbouze,"Adventure, Animation, Comedy, Family",101.0,Adventure,Animation,Comedy,Family,,,,,4,2010,Poor,Medium
Fifty Shades of Grey,4.1,2015,R,Drama,Sam Taylor-Johnson,Jennifer Ehle,"Drama, Romance",129.0,Drama,Romance,,,,,,,2,2010,Poor,Long
Get Hard,6.0,2015,R,Comedy,Etan Cohen,Will Ferrell,"Comedy, Crime",107.0,Comedy,Crime,,,,,,,2,2010,Average,Medium
The Intern,7.2,2015,PG-13,Comedy,Nancy Meyers,Robert De Niro,"Comedy, Drama",121.0,Comedy,Drama,,,,,,,2,2010,Good,Long
Bridge of Spies,7.6,2015,PG-13,Drama,Steven Spielberg,Tom Hanks,"Drama, History, Thriller",142.0,Drama,History,Thriller,,,,,,3,2010,Good,Long
The Gunman,5.8,2015,R,Action,Pierre Morel,Ray Winstone,"Action, Crime, Drama, Mystery, Thriller",115.0,Action,Crime,Drama,Mystery,Thriller,,,,5,2010,Average,Medium
Baahubali: The Beginning,8.4,2015,R,Action,S.S. Rajamouli,Tamannaah Bhatia,"Action, Adventure, Drama, Fantasy, War",150.5,Action,Adventure,Drama,Fantasy,War,,,,5,2010,Excellent,Long
